EAN13,DESCRICAO,CODIGO
7898964049394,ACAI WHAKA 500ml ORG                    ,2256568
7896519298716,BOMBOM ACAI DE MARCHI 100g BITES        ,2254913
7898956771616,CREME WHAKA 500ml ANTIOX.,1823051
FROOTY              ,SORBET ACAI FROOTY 1,2292866
7896594972006,SORBET ACAI FROOTY 650g Z.AC POTE       ,2292785
SPLIT               ,SORBET ACAI SPLIT 1,2292807
7896594973621,SORBET BLUE FROOTY 200ml COCO/ABAC/SPIR ,2292823
7898956771470,SORVETE WHAKA 500ml CUPUACU TRUF.C/CHOC,1823060
7898964049158,SORVETE WHAKA 500ml PACOQUITA           ,2256541
7891055523919,BUCHA VEGETAL  CONDOR ATOALHADA         ,1902989
7896565701000,BUCHA VEGETAL BANHO FRESH               ,1422448
7891040128730,BUCHA VEGETAL PONJITA ESFOLIAC.PROFUNDA ,685585
7891055520017,ESCOVA BANHO CONDOR CABO ANATOMICO,685291
7896001008502,ESCOVA BETTANIN PLASTICA BANHO RELAX,728055
7891055521717,ESPONJA BANHO CONDOR BARBIE,2107384
7891055521816,ESPONJA BANHO CONDOR HOT WHEELS,2107376
7891055521519,ESPONJA BANHO CONDOR L3P2,2083205
7891055523612,ESPONJA BANHO CONDOR SUAVE E MACIA,2107341
7896565701222,ESPONJA BANHO FRESH KIDS,1715755
7896565701079,ESPONJA BANHO FRESH MAXXI 107           ,685429
7896240200019,ESPONJA BANHO ORGANICA                  ,2314355
7896240209197,ESPONJA BANHO ORGANICA INFANTIL         ,2314363
7896240200910,ESPONJA BANHO ORGANICA LUVA NAT. SISAL  ,2314371
7896565701840,ESPONJA BANHO POMPOM L3P2               ,1849115
7891040023394,ESPONJA BANHO PONJITA ANATOMICA GTS.FAC.,685330
7891040001187,ESPONJA BANHO PONJITA BANHO DIARIO      ,685496
7891040117277,ESPONJA BANHO PONJITA BANHO DIARIO L3P2,685550
53200001315,ESPONJA BANHO PONJITA BOB ESPONJA AMAR  ,685399
7891040104109,ESPONJA BANHO PONJITA ESFOLIAC.PROFUNDA,685470
7891040107872,ESPONJA BANHO PONJITA ESPUMA ABUNDANTE,685500
7891040141418,ESPONJA BANHO PONJITA FIBRA NATURAL,1352180
7896565701123,ESPONJA MASSAGEM BANHO FRESH            ,1422421
7891055657812,LUVA ESFOLIANTE CONDOR SPA CARVAO ATIV. ,2135671
7891055522516,TOUCA BANHO CONDOR MOMENTO VIP          ,1627627
7896565701055,TOUCA BANHO FRESH POMPOM L2P1           ,710040
7896025538283,TOUCA BANHO MARCO BONI CETIM ANTI FRIZZ ,2134217
7899014654520,ALIMENTADOR INFANTIL NUBY AZUL,1917234
7896000677310,ALIMENTADOR KUKA SOFT AZUL              ,2225603
7896000677327,ALIMENTADOR KUKA SOFT ROSA              ,2225611
7891301037863,BABADOR BABYGO MICKEY AZUL              ,2261316
7891301037931,BABADOR BABYGO MINNIE ROSA              ,2261324
7908103756394,BABADOR SILICONE BUBA PEGA MIGALHAS AZUL,2330423
7908103756400,BABADOR SILICONE BUBA PEGA MIGALHAS ROSA,2330415
7899014646105,BANHEIRA ALEGRIA 28l ROSA,2200791
7899014615750,BANHEIRA CAJOVIL 20l ADOLETA AZUL,825743
7899014615767,BANHEIRA CAJOVIL 20l ADOLETA ROSA,1289020
7908103756332,BOWL SILICONE BUBA C/VENTOSA AZUL       ,2330814
7908103756349,BOWL SILICONE BUBA C/VENTOSA ROSA       ,2330830
7899014616566,CABIDE CAJOVIL URSO C/2 AZUL BEBE ADOLET,822469
7899014616580,CABIDE CAJOVIL URSO C/2 ROSA BEBE ADOLET,825352
7896033231084,CANECA LILLO 207ml MAGIA AZUL,1781022
7896033231091,CANECA LILLO 207ml MAGIA LILAS,1781014
7891301010354,CHOCALHO MORDEDOR BABYGO MICKEY         ,2261332
7899525672884,COLHER BUBA AVIAO                       ,2288630
7908103758220,COLHER BUBA SIILICONE E BAMBU AZUL      ,2330458
7908103758237,COLHER BUBA SIILICONE E BAMBU ROSA      ,2330466
7896000672957,COLHER P/BEBE KUKA SILICONE,656410
7908103718408,COLHER TREINAMENTO BUBA TERMOSSENSIVEL  ,2288583
7908103718583,COPO BUBA PAREDE DUPLA  TURMINHA DO MAR ,2330555
7908103718576,COPO BUBA PAREDE DUPLA ANIMAL FUN       ,2330547
7908103796895,COPO BUBA SILICONE C/CANUDO URSINHO AZUL,2330512
7908103796901,COPO BUBA SILICONE C/CANUDO URSINHO ROSA,2330504
7908103726366,COPO BUBA TREINAMENTO C/ALCA REM. AZUL  ,2330539
7908103726359,COPO BUBA TREINAMENTO C/ALCA REM. ROSA  ,2330520
7891301014130,COPO C/ALCA BABYGO MICKEY 400ml         ,2262142
7891301014208,COPO C/ALCA BABYGO MINNIE 400ml         ,2262134
7908103732152,COPO DE TREINAMENTO 360º BUBA AZUL      ,2288567
7908103732145,COPO DE TREINAMENTO 360º BUBA ROSA      ,2288575
7896000661425,COPO KUKA FUN 330ml MENINA,1628526
7896000661418,COPO KUKA FUN 330ml MENINO,1628534
7896000661913,COPO KUKA 360 AZUL                      ,2225565
7896000661920,COPO KUKA 360 ROSA                      ,2225573
7899014651468,COPO NUBY 240ml ALCA/BICO SILICONE AZUL ,2237717
7899014651475,COPO NUBY 240ml ALCA/BICO SILICONE ROSA ,2237709
7899014653813,COPO NUBY 450ml GATOR C/CANUDO RET.AZUL ,2237741
7899014649793,COPO NUBY 450ml GATOR C/CANUDO RET.ROSA ,2237750
7899014644163,COPO PORTA SUCO CAJOVIL URSO AZUL C/ALCA,1832522
7899014644170,COPO PORTA SUCO CAJOVIL URSO ROSA C/ALCA,1674889
7896042070872,COPOS PLASUTIL INF.BABY PRINCESS ROSA   ,1694502
7908103726410,ESCOVA E PENTE BUBA CERDAS MACIAS CINZA ,2339048
7908103796192,GARRAFINHA ALUM. BUBA 450ml AVEN.ASTRON ,2330571
7908103796161,GARRAFINHA ALUM.BUBA 450ml AVEN.SEREIA  ,2330563
7908103753294,GARRAFINHA BUBA AVENTURAS ASTRONAUTA    ,2288524
7908103753263,GARRAFINHA BUBA AVENTURAS SEREIA        ,2288532
7908103780214,GARRAFINHA 300ml BUBA TRITAN AZUL       ,2330598
7908103780221,GARRAFINHA 300ml BUBA TRITAN ROSA       ,2330580
7891301012877,KIT ALIMENTACAO BABYGO MICKEY           ,2262223
7891301012938,KIT ALIMENTACAO BABYGO MINNIE           ,2262215
7899014644361,KIT ALIMENTACAO NUBY URSO AZUL          ,2237733
7899014644378,KIT ALIMENTACAO NUBY URSO ROSA          ,2237725
7908103752884,KIT ESCOVA BUBA C/ ESPONJA CINZA        ,2288656
7896000674579,KIT ESCOVA/PENTE KUKA BEBE AZUL,1585070
7896000674586,KIT ESCOVA/PENTE KUKA BEBE ROSA,1585061
7896025526181,KIT ESCOVA/PENTE MARCO BONI BABY AZUL,1920235
7896025509566,KIT ESCOVA/PENTE MARCO BONI BABY ROSA,1388215
7908103753348,KIT HIGIENE BUCAL BUBA C/ PROTETOR      ,2288621
7908103737751,KIT LIXAS DE UNHA BUBA FAZENDINHA C/4   ,2288648
7908103736129,KIT MANICURE BUBA BRANCO                ,2330601
7897517916572,KIT MANICURE RICCA BABY AZUL            ,2231891
7897517909253,KIT MANICURE RICCA BABY ROSA            ,2231905
7908103769707,KIT TALHERES BUBA AVENTURAS ATRONAUTA   ,2330490
7908103769677,KIT TALHERES BUBA AVENTURAS SEREIA      ,2330482
7908103726175,KIT TALHERES BUBA TERMOSSENSIVEIS ROSA  ,2288605
7908103761664,MASSAGEADOR DE GENGIVA BUBA BANANA      ,2288613
7898513496112,MORDEDOR BUBA C/AGUA CENTOPEIA          ,2330440
7899525661390,MORDEDOR BUBA C/AGUA SORTIDO            ,2330431
7899014645351,PORTA CHUPETA CAJOVIL AZUL BEBE ADOLETA ,1832506
7899014645368,PORTA CHUPETA CAJOVIL ROSA BEBE ADOLETA ,1832492
7896000661012,PORTA CHUPETA KUKA AZUL,1585029
7908103753256,PRATINHO BOWL BUBA AVENTURAS ASTRONAUTA ,2288559
7908103753225,PRATINHO BOWL BUBA AVENTURAS SEREIA     ,2288540
7908103756301,PRATINHO SILICONE BUBA C/VENTOSA AZUL   ,2330385
7908103756318,PRATINHO SILICONE BUBA C/VENTOSA ROSA   ,2330393
7891301012914,PRATO ALIMENTACAO BABYGO MICKEY TP/DIV  ,2262185
7891301022791,PRATO ALIMENTACAO BABYGO MICKEY 3D      ,2262207
7891301022807,PRATO ALIMENTACAO BABYGO MINNIE 3D      ,2262193
7896000660169,PRATO TERMICO KUKA AZUL,1585088
7896000660176,PRATO TERMICO KUKA ROSA,1585096
7891301037894,PRENDEDOR CHUPETA BABYGO MICKEY         ,2262150
7891301037962,PRENDEDOR CHUPETA BABYGO MINNIE         ,2262169
7896000672612,PRENDEDOR CHUPETA KUKA TRANSPARENTE,655279
7896000672650,PRENDEDOR CHUPETAS KUKA CAROCHA,1920260
7908103788210,PRENDEDOR DE CHUPETA BUBA MAGIC DINO    ,2330768
7908103788227,PRENDEDOR DE CHUPETA BUBA MAGIC UNICOR. ,2330776
7908103786674,PRENDEDOR DE CHUPETA BUBA SILICONE BEGE ,2330792
7899014638315,REDUTOR SANIT.CAJOVIL MUSICAL ROSA      ,1431692
7899525652404,TERMOMETRO BUBA GIRAFINHA               ,2288591
7896042070841,TIGELA INF.PLASUTIL C/VENT.COLHER ROSA,1951637
7896104993767,TROCADOR DESCARTAVEL MILI C/5 INFANTIL  ,2305542
7897750779774,BALDE ALKLIN MOP 15l S/VASSOURA,1489470
7896001013865,BALDE NOVICA PLASTICO SEKITO 10l VERDE  ,2207559
7897750778876,DESENTUPIDOR ALKLIN PIA                 ,1489445
7897750778890,DESENTUPIDOR ALKLIN SANITARIO           ,1489437
7896001020344,DESENTUPIDOR PIA BRILHUS PLASTICO       ,2258552
7896001004795,DESENTUPIDOR SANITARIO SANILUX BORRACHA ,1752367
7891055525005,ESCOVA CONDOR ENGRAXAR SAPATO           ,727989
7891055590300,ESCOVA CONDOR LAVA LEGUMES MASTER CHEF  ,2282968
7891055111604,ESCOVA CONDOR LAVAR MADEIRA 16,728012
7891055525104,ESCOVA CONDOR LUSTRAR SAPATO            ,727997
7891055111109,ESCOVA CONDOR MULTIUSO C/CABO 72        ,728020
7891055112106,ESCOVA CONDOR MULTIUSO 1121,728144
7891055772607,ESCOVA CONDOR TIRA MANCHAS,1876716
7896001001145,ESCOVA NOVICA ADAPT 114,728101
7896001001152,ESCOVA NOVICA BETTAJEANS ANATOMICA  115,728039
7896001001121,ESCOVA NOVICA CANTOS                    ,1534106
